otu	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
otu2617	2	4	11	12	11	13	2	8	5	7
otu1240	16	2	9	4	15	20	14	12	20	5
otu460	3	14	15	8	17	15	8	0	12	10
otu966	7	11	10	7	20	1	9	17	5	12
otu269	14	14	11	9	17	9	7	17	9	13
otu1792	9	13	0	0	8	0	18	12	11	8
otu2624	8	17	14	8	8	11	13	12	18	15
otu1278	4	4	5	19	11	10	1	17	15	5
otu2124	0	5	5	17	19	5	14	7	18	11
otu1776	2	18	16	3	17	11	4	17	16	13
otu443	11	9	12	10	3	19	16	3	3	17
otu2521	1	19	3	20	16	16	17	10	11	6
otu2676	2	11	11	3	14	5	9	11	3	7
otu1784	0	15	12	17	20	0	4	20	4	7
otu2780	14	4	14	1	17	10	7	12	15	4
otu1255	0	11	1	14	7	1	20	10	13	5
otu1025	4	7	2	6	0	1	17	13	18	20
otu1075	14	17	2	16	10	3	11	11	15	13
otu731	19	3	8	0	3	5	6	1	9	20
otu1652	0	8	15	15	18	2	4	16	20	0
otu518	2	0	5	14	13	4	1	18	20	9
otu1029	18	5	18	8	10	1	3	5	11	11
otu427	1	12	13	2	19	9	10	3	8	9
otu1182	20	2	13	3	3	13	3	1	6	15
otu409	9	5	16	15	8	13	1	9	13	2
otu1952	15	0	5	13	19	12	7	5	1	1
otu1365	15	12	12	8	8	4	16	17	18	8
otu1452	1	19	20	3	6	8	11	6	7	19
otu2092	7	1	9	2	13	20	4	4	16	17
otu2176	11	10	1	11	10	13	0	14	7	4
otu164	7	5	13	2	1	20	10	20	16	19
otu279	20	2	19	5	11	16	18	8	20	18
otu2598	16	15	12	3	2	2	12	20	14	10
otu1975	11	11	16	17	9	15	4	17	14	18
otu2874	20	2	2	4	2	3	20	0	18	14
otu2102	5	13	11	10	7	15	20	5	7	5
otu1055	7	15	9	9	12	13	5	11	18	9
otu2895	5	1	10	15	8	10	1	13	11	1
otu586	0	6	13	6	3	11	13	15	6	1
otu1302	18	2	9	11	13	9	10	10	5	9
otu1566	13	2	6	18	10	13	8	14	13	3
otu1066	2	4	15	13	17	15	20	2	20	20
otu2717	20	1	3	13	17	1	4	11	11	11
otu2420	9	12	6	13	7	9	7	4	1	1
otu266	4	20	3	10	16	17	19	8	13	12
otu2876	12	3	18	12	16	5	0	15	4	3
otu2632	11	4	19	1	19	18	14	16	10	8
otu1382	9	16	5	20	18	17	11	3	3	15
otu554	13	18	12	8	8	2	3	5	10	1
otu2658	4	20	7	18	0	3	4	3	12	3
otu650	19	15	0	10	1	16	20	7	20	13
otu1669	5	8	4	12	15	8	17	13	15	19
otu1739	19	9	1	9	2	15	4	16	16	0
otu1538	4	4	13	18	5	14	6	14	3	18
otu2751	19	9	12	9	10	18	11	6	9	16
otu1220	10	7	19	13	2	1	12	11	5	0
otu625	1	16	1	19	9	9	1	5	0	0
otu1618	3	12	20	8	16	10	14	16	6	4
otu2214	11	7	14	6	19	2	1	0	8	6
otu1292	5	10	14	17	10	0	17	9	3	5
otu1910	13	13	4	5	18	19	17	15	14	19
otu363	15	5	16	4	8	7	11	0	19	19
otu1567	12	8	15	11	16	12	0	4	1	0
otu863	14	8	15	15	2	16	19	0	10	5
otu1823	0	18	6	10	5	1	0	7	16	10
otu1110	20	18	12	13	19	9	10	2	18	9
otu520	14	4	19	19	7	4	4	10	8	13
otu1857	0	2	13	11	7	1	17	20	10	19
otu166	9	20	17	8	7	10	1	18	6	17
otu2687	18	16	15	8	9	18	5	19	6	8
otu649	19	13	11	11	16	18	4	7	9	13
otu693	20	10	0	19	1	0	20	1	10	19
otu636	8	5	17	2	9	3	3	7	14	18
otu989	17	16	1	14	13	13	9	0	10	15
otu534	10	9	7	13	1	4	5	13	8	9
otu1024	19	19	8	12	14	14	16	12	5	10
otu2285	19	5	0	18	7	15	1	1	16	5
otu302	13	1	11	15	20	11	18	13	10	19
otu1663	0	18	3	8	12	6	16	8	8	18
otu610	0	20	17	12	12	4	20	18	9	20
otu2894	3	18	17	20	19	1	15	14	19	17
otu178	6	13	12	15	20	3	20	7	8	16
otu1325	17	5	7	14	11	8	18	11	12	1
otu206	18	0	2	11	11	5	14	17	10	17
otu1522	6	19	6	17	16	17	7	18	2	15
otu877	19	12	14	14	12	0	20	7	1	1
otu1820	20	19	13	4	0	10	10	2	0	14
otu1146	2	10	8	15	3	0	8	5	20	16
otu2523	1	6	5	2	11	13	18	15	3	13
otu1702	5	10	17	19	4	2	15	8	12	2
otu2213	4	2	12	20	0	2	20	2	14	0
otu2653	10	16	20	2	2	18	16	1	20	15
otu837	19	0	4	6	7	19	6	3	6	3
otu620	14	6	5	3	1	14	17	2	2	12
otu992	16	20	13	2	16	4	19	0	7	12
otu1107	8	12	15	4	2	16	16	7	13	15
otu414	5	14	14	0	12	17	15	5	1	2
otu1865	7	5	2	1	5	6	5	2	3	11
otu869	17	11	3	4	18	13	10	10	18	2
otu2942	20	18	17	7	16	2	19	5	16	19
otu1233	12	14	10	7	4	11	13	16	19	4
otu850	5	1	12	5	13	15	19	7	10	19
otu1005	2	17	7	20	20	16	2	14	11	17
otu196	0	18	1	20	5	3	6	17	5	6
otu371	15	18	4	0	2	17	1	0	19	19
otu1464	9	8	8	1	15	3	0	16	20	0
otu732	2	13	19	8	10	16	17	7	2	17
otu1183	15	2	12	5	13	8	9	3	12	16
otu255	15	20	0	16	14	17	20	14	4	16
otu2054	1	10	3	19	9	4	17	4	17	4
otu156	15	12	16	12	13	14	20	9	10	8
otu2613	20	8	11	0	8	9	1	5	14	17
otu2129	8	3	2	14	6	6	8	8	4	9
otu364	13	0	5	6	12	11	18	2	20	10
otu1234	8	8	16	1	2	10	2	13	7	10
otu1580	16	9	10	10	14	18	6	19	9	12
otu1097	5	5	1	6	20	3	0	16	13	1
otu1634	12	0	16	13	14	3	7	13	12	20
otu1244	13	19	10	2	18	9	3	2	12	1
otu1754	5	8	11	9	19	12	19	12	15	1
otu132	4	14	17	0	4	15	3	14	18	0
otu2732	1	15	12	14	8	20	4	5	6	15
otu781	0	17	7	19	9	12	13	5	8	10
otu0	2	20	19	3	1	7	10	13	2	20
otu1757	8	11	13	2	19	19	3	18	7	7
otu311	18	0	7	18	11	3	6	12	19	15
otu1151	0	1	9	8	1	12	19	15	10	19
otu248	1	13	8	17	17	14	20	14	10	9
otu806	1	11	8	18	19	2	3	1	14	20
otu638	18	19	4	18	8	16	3	17	9	0
otu1750	13	7	8	8	10	10	9	11	18	6
otu2350	2	19	0	19	5	11	1	3	3	3
otu1344	5	4	17	8	15	14	15	13	5	20
otu705	6	5	2	6	1	4	14	5	17	6
otu2909	8	8	19	12	3	12	2	16	7	11
otu1414	5	12	18	19	15	10	0	11	11	19
otu1090	4	11	14	7	12	18	16	2	7	7
otu292	1	11	19	12	1	10	18	2	20	12
otu2218	9	15	19	11	14	12	5	3	0	20
otu1767	1	0	8	19	6	13	6	17	3	0
otu1656	18	2	20	4	16	9	3	19	1	0
otu2289	17	8	5	6	7	6	9	9	10	1
otu1180	17	0	9	4	6	1	9	11	7	17
otu440	17	8	7	9	12	8	4	3	7	1
otu729	9	11	16	14	4	15	8	10	14	20
otu858	3	1	2	5	6	17	1	16	3	11
otu842	3	7	16	19	9	4	15	15	1	12
otu1801	12	19	16	4	12	1	2	0	10	10
otu1112	3	15	18	10	17	8	1	2	16	6
otu1355	12	7	9	5	16	6	18	4	5	19
otu1290	11	17	13	18	18	3	0	12	5	6
otu666	8	19	7	13	15	4	17	13	0	0
otu72	2	10	8	8	7	19	6	16	5	3
otu2590	4	19	14	11	18	8	1	5	13	8
otu991	4	4	20	9	2	16	14	10	15	4
otu932	0	1	1	18	13	12	15	16	4	0
otu2934	20	7	17	6	17	13	20	17	7	14
otu352	16	5	9	18	18	4	2	5	6	15
otu2766	13	6	15	7	3	18	13	9	1	7
otu1984	7	18	11	8	11	19	11	1	4	11
otu892	13	4	4	16	17	17	6	13	8	1
otu1217	9	14	11	2	4	13	8	2	2	5
otu1899	3	19	2	12	14	6	1	20	13	16
otu928	2	0	16	7	10	5	9	0	15	9
otu2439	0	10	18	7	0	13	14	16	5	8
otu1893	13	17	12	18	10	18	0	5	17	6
otu2753	18	11	20	7	15	5	12	3	19	5
otu2288	16	3	14	10	19	15	5	12	16	17
otu1760	1	20	15	8	0	7	12	8	9	14
otu2511	9	9	3	19	18	2	9	2	6	18
otu577	17	2	7	5	7	2	11	1	11	19
otu2069	1	16	18	8	2	0	7	5	9	10
otu2945	9	13	9	2	8	9	10	4	11	20
otu329	12	2	4	2	19	15	16	19	11	0
otu664	9	19	4	5	19	11	7	18	5	6
otu1904	12	12	9	17	1	4	20	15	7	5
otu1724	1	11	14	3	11	0	3	12	1	20
otu1430	13	5	16	2	2	8	14	14	17	13
otu444	12	18	11	0	1	10	20	2	17	7
otu2491	7	1	6	18	10	18	9	10	17	9
otu476	12	6	3	2	9	11	17	5	6	8
otu2303	4	14	9	8	13	17	2	10	13	1
otu2812	16	18	7	10	5	3	16	16	18	18
otu240	10	16	18	19	15	2	16	11	19	12
otu136	7	10	12	5	2	6	4	11	0	17
otu170	18	16	3	8	15	7	2	20	3	14
otu2509	20	6	12	16	7	5	9	1	13	7
otu2292	16	0	2	4	2	1	12	15	5	3
otu2279	7	3	13	2	18	8	0	12	2	1
otu724	6	14	5	1	20	17	5	16	18	13
otu1317	0	20	13	1	1	1	11	6	7	0
otu316	5	14	18	1	18	0	1	3	18	8
otu99	18	0	0	17	9	7	10	18	1	10
otu49	20	10	12	4	7	17	4	9	15	3
otu1266	19	3	15	5	8	18	19	16	2	20
otu303	9	3	20	0	13	20	3	1	19	9
otu1124	2	11	14	12	19	2	2	9	20	11
otu1967	11	9	14	15	11	13	5	7	19	12
otu260	8	13	7	3	6	19	13	11	18	2
otu1072	2	16	7	17	17	9	6	0	8	1
otu48	17	2	0	7	8	12	3	1	9	17
otu31	8	5	1	19	6	10	16	3	16	9
otu680	9	11	7	8	1	19	17	8	12	9
otu2274	14	8	20	3	18	8	7	0	20	18
otu564	10	19	6	15	15	20	4	18	12	15
otu1545	18	20	16	16	18	16	12	10	19	5
otu1673	16	18	4	11	13	7	3	9	17	20
otu1154	8	17	1	5	3	12	2	7	2	7
otu1336	17	4	4	11	18	19	2	3	1	17
otu2237	2	14	7	4	3	19	3	2	4	8
otu1619	4	10	4	2	19	10	0	20	7	15
otu702	4	10	7	5	16	7	3	14	7	11
otu540	11	2	16	14	6	8	16	4	20	7
otu1490	6	5	1	5	14	18	17	11	16	18
otu1686	18	15	19	13	3	18	4	12	0	8
otu995	13	10	17	11	1	8	20	0	16	10
otu1866	13	17	5	2	16	15	10	3	13	13
otu950	11	16	5	6	16	4	0	20	12	12
otu839	13	5	3	8	6	13	4	18	13	19
otu436	15	2	12	5	2	8	2	20	14	20
otu2174	2	20	10	19	13	1	3	14	9	6
otu1136	1	16	19	16	9	2	5	10	2	3
otu532	14	17	12	11	1	17	13	1	10	16
otu445	3	10	4	4	6	16	5	0	8	10
otu2863	7	17	9	5	6	13	7	6	2	10
otu2032	1	14	7	6	15	17	20	8	8	20
otu191	4	2	19	1	8	9	9	20	8	4
otu391	6	0	0	6	4	16	4	3	19	12
otu1099	17	8	6	15	3	0	8	10	6	10
otu1859	3	19	5	5	12	2	10	12	13	2
otu2684	12	8	2	7	15	17	2	17	8	3
otu2580	0	6	4	9	19	7	5	10	5	14
otu224	4	1	7	0	15	7	7	17	0	15
otu1517	16	19	9	2	5	7	17	0	7	19
otu451	6	9	13	12	17	19	15	4	20	8
otu183	0	0	16	7	19	15	15	20	13	15
otu2736	0	9	1	15	4	0	6	7	5	12
otu1170	8	15	15	5	16	5	20	12	9	0
otu120	5	16	10	17	15	5	19	2	4	20
otu2988	2	7	15	0	7	9	15	0	11	19
otu1578	9	0	7	18	6	5	10	9	13	10
otu875	13	12	0	16	15	20	14	1	3	15
otu438	14	8	11	13	13	5	2	19	3	15
otu2104	5	5	12	18	0	1	4	19	13	8
otu2705	8	0	19	9	13	9	16	15	18	0
otu1047	9	1	3	4	15	18	15	0	16	20
otu1392	18	2	5	9	11	15	5	5	3	19
otu1651	0	6	9	4	2	10	18	1	3	0
otu623	2	0	10	14	9	19	10	19	17	18
otu2185	14	13	19	1	2	12	13	3	11	8
otu669	19	19	2	18	14	1	2	14	11	7
otu676	1	12	17	14	3	1	12	6	1	8
otu1987	6	13	10	5	1	18	20	10	4	19
otu834	15	15	12	7	2	19	1	6	15	6
otu1524	4	0	17	18	8	19	11	17	12	16
otu2622	11	1	9	5	9	19	0	8	5	19
otu1766	13	20	6	1	1	19	16	14	14	12
otu2348	18	7	12	8	4	11	16	6	10	16
otu2242	6	9	17	7	5	14	0	12	18	8
otu838	4	20	0	6	7	14	5	0	5	16
otu1887	14	0	0	11	13	18	13	5	8	1
otu2120	17	19	19	15	2	14	7	2	2	6
otu2681	10	14	0	7	16	18	14	13	2	12
otu544	1	9	0	1	15	7	2	19	6	2
otu2837	5	10	9	10	2	4	10	18	19	11
otu1855	17	6	14	12	10	18	20	18	2	5
otu264	0	18	10	11	18	20	14	3	20	16
otu2888	10	2	1	13	10	14	12	1	3	2
otu41	20	13	14	0	12	18	12	16	20	1
otu1273	19	19	9	6	0	16	13	6	19	6
otu65	8	10	18	19	3	19	15	19	12	9
otu813	0	19	18	7	1	3	17	11	12	3
otu2889	16	9	9	14	5	10	7	2	20	10
otu268	4	8	17	16	12	18	11	19	15	13
otu468	13	17	20	8	19	2	0	20	11	11
otu2483	7	13	18	17	19	6	13	10	16	17
otu2661	13	10	20	6	6	3	9	1	13	5
otu831	13	15	8	14	0	4	13	7	4	7
otu1356	10	4	11	2	17	14	17	2	5	18
otu2528	16	9	13	7	15	17	0	11	16	2
otu90	19	18	7	17	16	0	20	15	17	11
otu245	1	18	10	7	12	16	17	6	12	17
otu63	9	11	1	3	2	8	11	7	11	16
otu7	3	2	0	4	19	5	7	20	10	18
otu73	16	20	0	5	1	4	19	20	20	17
otu2586	10	17	18	6	13	7	4	19	15	8
otu2520	9	13	4	20	9	15	11	11	6	3
otu746	8	0	14	11	16	12	4	1	11	19
otu2360	2	3	3	2	19	3	17	0	20	0
otu949	3	0	2	20	1	12	4	20	17	15
otu1812	2	2	8	19	17	18	9	6	10	19
otu1190	15	10	0	16	0	19	17	8	8	4
otu2897	12	7	2	20	17	9	3	18	10	0
otu1692	13	9	16	16	20	0	12	12	0	12
otu1169	4	7	0	0	7	1	18	17	19	19
otu621	19	10	11	8	0	9	7	0	16	4
otu1222	19	16	11	2	11	18	10	3	16	10
otu2919	20	14	4	13	20	5	9	20	17	11
otu2963	7	15	0	9	0	12	5	20	20	16
otu2373	15	6	1	11	17	12	17	13	2	5
otu1530	1	2	20	8	9	4	7	3	3	12
otu2623	7	9	16	19	18	18	20	15	11	18
otu711	4	12	16	13	10	10	17	18	18	13
otu1815	0	19	3	7	18	13	9	13	12	17
otu1614	14	15	8	7	20	9	3	7	12	20
otu742	16	10	1	18	2	17	1	7	8	13
otu2403	10	11	11	6	7	14	1	17	16	11
otu929	13	19	0	0	6	17	10	5	0	13
otu1046	12	13	14	19	16	0	15	12	10	4
otu426	10	14	4	1	8	3	17	10	19	1
otu2654	1	12	6	12	15	0	18	7	0	15
otu1120	13	0	18	13	1	19	9	15	16	12
otu2001	8	20	7	17	2	20	11	9	9	15
otu1127	19	10	9	0	4	18	5	1	0	5
otu1205	12	14	4	6	8	4	5	15	1	12
otu1986	19	15	12	13	20	17	10	12	4	4
otu531	2	8	10	2	8	5	9	9	17	0
otu2308	12	4	20	3	15	18	6	11	19	0
otu969	10	2	1	11	4	7	18	6	12	0
otu2706	14	14	11	3	5	12	7	7	0	5
otu2469	0	7	19	2	6	14	13	8	4	6
otu1575	20	12	20	11	7	19	7	17	13	1
otu1149	4	15	16	12	9	7	18	3	20	1
otu629	2	4	3	20	4	17	10	15	16	18
otu691	18	6	2	0	3	9	1	12	5	19
otu1137	5	13	14	3	17	0	7	10	2	5
otu2189	14	8	19	4	0	1	4	5	11	7
otu2891	4	16	3	20	19	10	19	8	19	9
otu1162	7	7	15	14	15	4	13	9	4	1
otu2679	12	18	18	4	1	19	8	1	20	7
otu1947	20	9	7	16	17	19	10	5	15	14
otu1531	0	17	19	13	3	2	3	7	17	14
otu379	6	12	12	5	15	13	13	20	2	16
otu2761	12	12	2	20	20	7	3	5	16	5
otu1631	14	12	11	3	9	18	13	11	0	9
otu204	16	14	13	16	20	7	19	14	3	7
otu2172	10	0	8	1	4	15	5	5	12	11
otu2806	18	19	8	15	18	13	3	10	6	6
otu2432	6	3	15	14	8	0	12	10	16	15
otu1743	14	7	12	8	3	3	8	12	9	14
otu106	12	11	17	20	20	18	12	16	2	12
otu1175	5	3	5	10	16	12	6	4	9	3
otu2936	6	18	20	13	10	18	8	13	16	18
otu767	20	10	5	5	0	18	4	18	14	18
otu516	13	17	11	19	5	16	10	0	3	14
otu1564	8	9	20	5	15	13	4	19	1	15
otu1187	20	3	20	3	15	1	8	14	12	11
otu663	4	2	19	4	1	3	18	17	14	13
otu871	16	19	0	2	5	8	3	5	10	11
otu2372	16	7	9	7	8	2	5	8	13	4
otu384	3	11	19	1	20	18	17	1	9	3
otu1873	13	20	12	7	9	13	10	16	11	7
otu1927	12	19	19	12	1	5	9	15	12	14
otu2437	12	2	4	2	3	10	7	12	20	5
otu2005	6	19	3	17	5	6	20	11	5	9
otu771	3	7	7	13	1	20	20	9	4	0
otu601	15	3	20	18	2	18	0	13	2	2
otu2905	10	0	10	15	13	13	5	4	14	16
otu2738	13	9	17	7	3	2	7	11	3	10
otu1371	14	0	15	13	11	12	15	13	1	4
otu2547	7	13	5	18	9	20	19	14	18	20
otu1920	16	6	6	8	15	19	16	9	5	9
otu2784	2	18	10	4	5	3	15	3	18	8
otu2747	6	2	14	6	3	9	17	13	0	12
otu239	16	1	0	2	15	7	11	6	17	17
otu2879	13	0	12	13	17	1	2	6	5	8
otu545	20	9	8	6	10	17	3	4	7	10
otu9	17	12	7	10	15	15	5	3	10	19
otu2368	6	13	15	17	15	20	15	0	0	2
otu1405	20	8	8	18	4	1	9	1	6	9
otu1109	11	12	12	17	12	5	1	8	11	3
otu726	11	13	5	19	13	14	4	1	13	7
otu230	3	7	16	5	5	16	13	5	5	15
otu1961	17	9	4	14	13	16	9	18	0	14
otu2500	17	13	14	19	19	11	6	8	2	4
otu1711	5	16	11	10	20	0	1	12	1	17
otu574	9	9	17	5	8	6	12	17	7	10
otu109	15	13	8	4	13	7	8	5	3	6
otu2116	2	2	10	10	10	6	10	6	13	14
otu853	20	17	9	5	19	1	2	4	19	1
otu2628	11	8	18	8	4	11	12	11	16	13
otu1481	5	7	6	17	15	4	14	11	13	6
otu1609	17	9	1	11	15	4	10	8	18	10
otu2460	13	7	13	17	5	9	9	10	11	11
otu1624	4	6	2	1	18	3	16	14	19	18
otu1007	11	17	15	0	2	7	10	8	1	11
otu2204	13	7	16	5	18	10	0	5	19	11
otu1003	4	12	13	18	20	12	7	17	13	14
otu2057	13	18	9	15	7	14	6	8	0	14
otu1556	17	16	6	11	19	3	0	12	15	16
otu1363	8	19	18	13	8	9	15	9	17	1
otu1493	3	19	1	2	13	8	11	6	12	11
otu1420	15	1	4	7	11	7	15	7	10	14
otu2130	3	12	10	5	13	3	20	2	1	14
otu1863	15	10	12	9	1	5	0	11	7	2
otu2052	18	3	14	1	9	0	19	11	16	4
otu372	14	12	13	2	18	14	16	15	18	18
otu1693	3	8	14	12	2	12	16	1	9	6
otu423	1	11	8	7	18	17	1	20	2	11
otu1621	19	12	20	14	20	5	10	1	10	6
otu1926	6	2	5	20	15	9	18	9	4	7
otu2625	5	0	11	7	11	19	15	1	10	20
otu28	6	13	4	14	13	5	20	4	2	17
otu720	11	0	16	12	1	0	7	18	1	11
otu2878	5	6	16	19	20	15	14	6	14	10
otu2792	3	17	0	14	0	0	3	4	15	3
otu1091	17	2	20	15	17	17	9	11	8	16
otu919	10	15	19	9	9	19	18	3	11	15
otu744	18	5	6	8	7	4	16	19	0	17
otu1367	7	0	9	6	11	2	20	3	18	11
otu2793	9	19	12	18	15	17	16	6	11	13
otu430	5	13	12	8	12	1	17	6	7	3
otu981	3	4	7	2	8	20	12	5	5	4
otu909	3	14	16	20	10	9	9	5	9	6
otu1806	3	7	11	0	5	17	10	12	8	11
otu2454	5	14	11	14	15	11	16	9	3	14
otu1168	18	13	2	19	15	8	9	14	13	6
otu582	18	8	8	2	10	14	3	18	7	15
otu2113	20	12	5	15	14	2	20	17	10	16
otu59	10	4	19	10	16	14	4	12	3	9
otu2046	19	18	18	9	4	20	6	10	17	17
otu796	4	15	13	12	2	6	8	3	13	14
otu523	1	15	9	5	3	16	15	2	2	10
otu2767	16	14	12	18	3	11	13	4	15	2
otu1677	1	18	5	19	0	6	11	5	15	15
otu2239	3	16	15	4	0	10	11	17	5	2
otu954	11	5	19	0	7	5	19	8	13	6
otu2803	20	14	17	9	2	15	11	10	9	10
otu1949	20	11	11	11	18	15	6	0	2	18
otu2480	13	19	1	12	20	10	20	4	5	10
otu818	12	6	4	6	9	16	12	17	9	14
otu2075	2	5	6	9	14	0	20	2	18	0
otu1287	1	5	18	3	19	13	1	20	13	18
otu2946	20	5	4	0	20	18	16	2	0	9
otu634	2	9	19	12	12	16	15	14	11	12
otu2335	17	19	2	17	19	13	20	6	8	12
otu1123	15	8	3	16	16	18	1	6	2	7
otu673	0	15	14	8	18	20	4	15	9	8
otu1014	5	2	14	2	12	2	4	10	17	20
otu1884	7	4	14	2	16	6	7	18	1	17
otu1620	4	13	18	19	16	20	6	3	8	5
otu519	19	1	10	18	10	7	13	17	9	1
otu1844	10	1	20	2	8	18	3	19	14	16
otu1816	15	16	13	9	13	10	8	20	3	1
otu2471	17	5	18	0	15	20	17	12	11	7
otu2567	9	3	4	7	20	4	0	0	15	9
otu631	12	0	7	19	7	9	20	15	12	19
otu317	7	18	10	19	2	15	0	17	3	9
otu1378	14	5	6	19	20	18	18	14	3	8
otu2677	8	11	6	8	9	11	10	19	2	11
otu876	6	5	5	11	5	20	13	7	7	13
otu1803	7	16	20	15	13	0	20	19	17	19
otu2572	0	13	16	0	20	1	17	0	17	15
otu2856	3	20	11	14	13	11	20	1	4	6
otu786	14	0	14	9	6	0	4	7	19	18
otu1052	16	17	1	10	10	5	12	4	10	2
otu1252	20	17	4	13	19	10	10	18	13	4
otu1006	4	3	1	1	2	16	4	11	6	17
otu171	15	6	4	12	19	14	9	9	0	17
otu1418	19	18	4	2	15	16	12	8	19	14
otu2847	0	19	0	18	0	16	4	15	2	20
otu2236	10	6	2	10	4	7	11	17	10	11
otu2038	11	12	9	16	16	11	20	9	0	0
otu2638	6	9	17	9	5	6	4	12	19	18
otu1424	4	13	9	5	11	20	16	9	2	17
otu1684	7	15	20	3	3	4	5	0	7	16
otu733	8	8	12	6	13	18	17	3	2	0
otu2099	18	12	18	13	14	3	8	10	7	10
otu1946	14	6	19	15	18	2	8	20	14	5
otu760	11	6	12	11	15	16	19	12	5	0
otu2749	5	10	7	13	9	14	16	19	3	11
otu1423	5	13	11	20	17	6	5	18	2	12
otu2327	9	11	2	12	1	10	17	10	15	11
otu1570	10	6	14	20	2	4	5	17	0	5
otu1306	2	6	14	12	3	13	6	7	1	9
otu2262	7	15	4	15	1	19	5	2	2	0
otu2976	13	4	0	13	3	10	13	8	6	11
otu722	0	3	0	16	13	6	4	7	18	12
otu2737	20	13	10	11	20	3	19	6	7	1
otu2173	3	19	13	20	6	4	6	0	11	20
otu2263	20	19	7	13	14	20	7	19	4	7
otu153	1	6	8	9	16	16	16	3	18	9
otu146	0	6	19	6	8	20	14	12	12	1
otu2541	18	3	2	13	5	2	17	17	15	13
otu2088	1	19	8	20	0	1	4	6	1	10
otu1638	19	14	18	11	5	17	13	12	12	0
otu2068	9	2	2	7	13	8	18	20	12	0
otu2247	14	9	1	0	1	11	18	6	15	16
otu51	11	9	2	1	4	15	3	8	17	17
otu35	3	16	0	20	18	13	18	15	12	17
otu1630	4	16	13	16	16	4	9	15	10	17
otu485	17	9	7	17	16	6	1	4	3	19
otu566	19	1	13	2	12	16	6	8	1	0
otu557	0	7	2	20	16	11	8	9	17	14
otu1224	16	12	0	19	5	17	14	0	2	3
otu1192	9	0	13	8	10	5	7	15	14	10
otu2573	1	9	8	20	1	3	14	12	15	16
otu1219	4	13	13	16	4	16	0	10	14	15
otu2396	10	18	10	1	19	17	11	1	11	2
otu678	2	12	9	17	12	7	2	14	3	10
otu392	14	2	9	11	13	4	2	14	3	16
otu1438	1	14	16	8	8	10	4	15	15	12
otu2122	17	2	13	20	18	2	19	14	3	1
otu2951	7	4	20	13	18	14	8	0	12	1
otu2481	9	1	13	10	19	0	0	15	1	19
otu770	5	3	14	2	10	0	5	14	15	7
otu1028	13	15	10	16	20	15	11	15	18	13
otu2248	19	14	3	10	1	18	6	13	18	19
otu2505	9	9	5	19	17	20	6	1	7	10
otu1785	4	12	19	1	13	18	16	4	18	11
otu367	8	3	19	15	16	2	1	10	1	4
otu2243	16	13	17	8	8	17	14	1	5	11
otu1565	1	9	6	19	13	17	8	6	16	0
otu719	7	5	9	0	11	20	7	20	2	12
otu2557	13	15	11	13	20	3	1	17	3	3
otu1872	4	5	2	1	8	9	20	17	14	10
otu2570	12	14	15	8	11	3	13	6	18	6
otu2071	14	19	9	0	12	19	20	6	13	11
otu829	3	14	12	15	11	10	15	20	11	20
otu526	5	2	19	11	19	15	1	20	1	3
otu214	7	11	14	14	9	20	11	17	20	20
otu758	14	6	9	12	8	17	6	9	7	20
otu1885	11	20	4	0	3	6	18	18	0	0
otu2250	0	15	20	19	18	7	9	11	14	2
otu83	10	15	6	10	10	16	14	5	2	9
