function	SRR7764409.fastq.gz_filtered.sam.match_0.5	SRR7764404.fastq.gz_filtered.sam.match_0.5	SRR7764443.fastq.gz_filtered.sam.match_0.5	SRR7764419.fastq.gz_filtered.sam.match_0.5	SRR7764390.fastq.gz_filtered.sam.match_0.5	SRR7764433.fastq.gz_filtered.sam.match_0.5	SRR7764440.fastq.gz_filtered.sam.match_0.5	SRR7764391.fastq.gz_filtered.sam.match_0.5	SRR7764447.fastq.gz_filtered.sam.match_0.5	SRR7764410.fastq.gz_filtered.sam.match_0.5	SRR7764405.fastq.gz_filtered.sam.match_0.5	SRR7764426.fastq.gz_filtered.sam.match_0.5	SRR7764424.fastq.gz_filtered.sam.match_0.5	SRR7764421.fastq.gz_filtered.sam.match_0.5	SRR7764441.fastq.gz_filtered.sam.match_0.5	SRR7764435.fastq.gz_filtered.sam.match_0.5	SRR7764397.fastq.gz_filtered.sam.match_0.5	SRR7764401.fastq.gz_filtered.sam.match_0.5	SRR7764402.fastq.gz_filtered.sam.match_0.5	SRR7764394.fastq.gz_filtered.sam.match_0.5	SRR7764434.fastq.gz_filtered.sam.match_0.5	SRR7764411.fastq.gz_filtered.sam.match_0.5	SRR7764393.fastq.gz_filtered.sam.match_0.5	SRR7764429.fastq.gz_filtered.sam.match_0.5	SRR7764427.fastq.gz_filtered.sam.match_0.5	SRR7764399.fastq.gz_filtered.sam.match_0.5	SRR7764431.fastq.gz_filtered.sam.match_0.5	SRR7764446.fastq.gz_filtered.sam.match_0.5	SRR7764422.fastq.gz_filtered.sam.match_0.5	SRR7764418.fastq.gz_filtered.sam.match_0.5	SRR7764423.fastq.gz_filtered.sam.match_0.5	SRR7764400.fastq.gz_filtered.sam.match_0.5	SRR7764414.fastq.gz_filtered.sam.match_0.5	SRR7764395.fastq.gz_filtered.sam.match_0.5	SRR7764415.fastq.gz_filtered.sam.match_0.5	SRR7764406.fastq.gz_filtered.sam.match_0.5	SRR7764403.fastq.gz_filtered.sam.match_0.5	SRR7764420.fastq.gz_filtered.sam.match_0.5	SRR7764417.fastq.gz_filtered.sam.match_0.5	SRR7764442.fastq.gz_filtered.sam.match_0.5	SRR7764398.fastq.gz_filtered.sam.match_0.5	SRR7764425.fastq.gz_filtered.sam.match_0.5	SRR7764392.fastq.gz_filtered.sam.match_0.5	SRR7764413.fastq.gz_filtered.sam.match_0.5	SRR7764437.fastq.gz_filtered.sam.match_0.5	SRR7764432.fastq.gz_filtered.sam.match_0.5	SRR7764438.fastq.gz_filtered.sam.match_0.5	SRR7764444.fastq.gz_filtered.sam.match_0.5	SRR7764396.fastq.gz_filtered.sam.match_0.5	SRR7764445.fastq.gz_filtered.sam.match_0.5	SRR7764428.fastq.gz_filtered.sam.match_0.5	SRR7764412.fastq.gz_filtered.sam.match_0.5	SRR7764448.fastq.gz_filtered.sam.match_0.5	SRR7764430.fastq.gz_filtered.sam.match_0.5	SRR7764408.fastq.gz_filtered.sam.match_0.5	SRR7764436.fastq.gz_filtered.sam.match_0.5	SRR7764407.fastq.gz_filtered.sam.match_0.5	SRR7764389.fastq.gz_filtered.sam.match_0.5	SRR7764416.fastq.gz_filtered.sam.match_0.5	SRR7764439.fastq.gz_filtered.sam.match_0.5
766765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71953	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0
668547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
121621	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0
182039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5401	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	2	1	0	1	1	0	1	1	0	1	0	0	1	3	0	0	0	0	1	0	0	0
5402	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4892	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0
134362	3	2	0	0	2	0	0	0	1	0	1	1	0	0	1	1	2	0	1	2	2	1	0	2	1	0	0	2	2	0	3	1	0	1	0	1	0	0	1	1	2	0	0	0	1	1	1	0	2	1	1	0	1	0	2	0	3	1	1	2
74837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
41247	0	1	1	1	1	1	1	2	0	1	2	0	0	2	1	3	3	3	2	2	0	2	3	5	4	3	2	2	3	2	2	3	2	3	3	1	2	1	1	2	1	3	1	2	1	2	1	2	2	2	1	1	2	1	1	1	5	3	1	1
5339	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	2	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0
442663	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0	1	0	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1798857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
231213	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0
654128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1339697	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0
36658	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
5598	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
290614	0	2	6	1	6	1	1	2	5	1	1	6	2	1	3	0	4	3	4	2	0	0	0	3	4	2	1	3	1	0	2	5	0	3	4	0	1	2	1	3	2	3	1	1	5	1	1	4	4	4	0	2	6	1	1	1	2	2	3	1
