otu	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
otu2615	17	6	5	8	7	17	6	10	13	2
otu989	12	6	9	20	11	11	14	5	6	2
otu2135	14	16	13	6	16	13	18	20	3	18
otu2800	19	15	14	9	6	5	8	19	3	16
otu26	1	0	6	10	15	10	4	17	8	5
otu1029	13	8	18	1	12	4	8	20	8	18
otu490	3	12	13	4	11	6	13	8	0	7
otu2835	11	13	1	7	4	14	20	0	16	5
otu1864	2	6	17	1	20	2	9	10	9	3
otu2180	1	5	0	1	4	10	7	18	13	11
otu1122	0	2	14	17	15	0	0	2	0	18
otu2120	11	18	9	9	2	13	4	2	15	18
otu1667	13	5	19	14	13	7	6	1	5	7
otu960	0	16	7	11	0	16	11	5	16	7
otu2773	5	5	1	6	9	10	1	19	7	2
otu2630	13	13	13	11	0	5	17	8	15	0
otu737	14	9	16	13	20	8	20	11	20	7
otu921	10	4	15	1	13	10	2	10	14	10
otu2145	13	4	13	8	13	14	5	15	8	12
otu2920	16	3	6	13	4	7	11	12	6	2
otu2805	20	4	2	6	16	9	4	13	6	11
otu2224	8	12	10	20	7	2	4	20	17	17
otu1986	1	3	1	12	17	14	14	19	16	2
otu1196	7	4	20	8	19	8	14	5	6	13
otu104	0	16	13	1	12	14	18	15	13	4
otu1276	8	11	13	1	4	13	4	10	4	20
otu229	10	8	2	14	16	1	10	4	12	2
otu1284	0	0	9	0	10	0	19	18	4	3
otu1653	3	0	12	19	13	1	1	10	9	17
otu2836	7	18	3	7	5	7	9	14	1	9
otu998	6	7	11	9	0	2	6	8	10	9
otu2534	8	18	19	15	16	7	2	14	13	12
otu1825	11	16	17	6	15	3	7	16	13	1
otu2611	14	16	20	7	13	5	2	12	10	9
otu322	11	4	13	20	16	3	19	5	7	3
otu2873	12	20	17	6	6	9	17	19	12	19
otu1414	1	4	11	18	8	14	2	19	4	6
otu1862	10	1	12	18	16	1	0	3	8	4
otu926	12	16	0	7	0	14	20	20	16	2
otu1213	11	2	8	17	0	11	6	18	11	10
otu1670	6	19	13	0	17	11	13	0	18	4
otu535	6	5	1	11	9	5	0	19	19	18
otu8	10	3	13	19	3	1	16	6	9	4
otu1021	15	12	0	2	6	15	7	15	13	10
otu1907	15	9	1	7	11	17	14	4	12	16
otu845	12	14	13	11	14	9	16	13	2	20
otu1911	19	1	20	13	19	6	5	15	11	3
otu693	16	13	16	20	15	14	10	0	9	14
otu894	20	13	9	13	19	10	11	20	17	12
otu1221	2	11	3	17	17	9	17	18	8	5
otu1294	8	4	5	8	6	10	16	18	16	16
otu515	0	11	0	9	5	20	16	13	5	7
otu1429	8	4	1	15	5	9	15	20	15	15
otu425	8	15	2	16	0	19	14	18	3	14
otu740	12	1	14	11	18	12	14	19	18	13
otu765	12	4	2	8	14	19	11	0	12	18
otu217	7	11	16	4	14	17	20	15	12	17
otu2369	7	11	8	1	0	10	12	3	12	11
otu52	1	9	7	17	10	0	10	13	13	16
otu2667	10	6	7	5	2	7	8	4	10	7
otu2589	6	7	12	17	6	2	9	12	14	5
otu2214	14	1	5	10	4	5	15	10	6	2
otu1770	9	3	10	2	7	19	6	16	15	9
otu1868	10	17	2	7	17	2	17	1	17	12
otu495	15	10	11	10	9	0	2	20	12	8
otu1765	14	6	13	16	4	7	12	3	16	6
otu1995	0	19	18	4	13	18	15	12	17	9
otu1104	20	15	13	4	5	5	20	12	17	4
otu1222	16	17	14	20	9	0	11	11	14	6
otu889	2	15	5	9	8	16	18	5	0	18
otu1144	5	13	2	5	20	20	8	3	14	7
otu1734	6	5	13	14	19	7	1	1	17	13
otu2698	4	1	12	0	0	0	2	13	0	8
otu181	17	11	2	19	20	2	9	7	17	12
otu93	11	16	18	17	8	10	6	19	7	12
otu223	16	5	4	13	2	18	5	8	1	4
otu1686	16	10	18	15	16	6	12	1	19	6
otu757	0	10	8	13	13	10	17	8	17	4
otu210	3	10	5	11	7	10	1	19	3	15
otu2693	6	16	2	8	19	20	20	10	17	4
otu2255	1	4	20	0	7	9	13	18	1	20
otu2216	10	12	10	18	14	5	10	12	14	5
otu778	14	2	0	19	11	13	1	9	6	15
otu652	14	6	8	5	7	6	7	19	15	15
otu1523	18	16	4	16	9	8	2	8	17	12
otu270	7	16	17	16	17	12	0	7	9	4
otu2546	2	1	3	4	6	13	17	11	1	16
otu543	5	0	11	15	9	8	10	0	17	12
otu465	16	20	7	8	8	19	20	17	9	8
otu2786	7	6	18	20	5	12	17	16	17	3
otu620	5	10	19	10	18	13	9	1	18	11
otu524	4	19	14	18	2	4	10	15	6	5
otu1544	11	9	19	18	8	6	10	8	3	6
otu838	18	13	0	3	20	6	2	2	3	13
otu1941	15	11	19	0	13	14	7	8	7	7
otu1704	7	20	2	15	5	8	20	5	20	11
otu2808	14	3	1	4	20	7	6	20	16	9
otu345	8	7	4	16	11	7	2	16	15	7
otu565	7	15	3	14	4	16	4	15	3	11
otu730	18	10	2	11	12	5	4	13	18	5
otu2695	19	15	4	3	1	10	1	13	10	2
otu1866	16	15	15	20	9	20	15	13	4	17
otu427	20	4	8	1	2	3	18	10	17	11
otu1529	4	1	4	10	2	19	17	9	7	0
otu993	15	17	18	9	11	9	5	10	4	17
otu2644	19	19	3	10	5	20	11	5	17	4
otu49	14	13	13	10	0	12	13	14	13	17
otu1280	4	20	19	9	7	19	0	10	7	20
otu717	14	13	0	2	5	20	7	6	10	2
otu1733	6	5	19	15	0	16	7	12	12	18
otu864	5	16	12	6	20	4	11	12	8	17
otu72	11	13	10	14	6	1	20	8	4	1
otu438	16	17	2	19	14	14	13	3	18	7
otu2472	13	17	18	14	2	15	3	6	8	11
otu645	11	14	11	2	6	6	6	18	20	10
otu1194	9	11	7	11	9	1	5	8	3	8
otu1316	8	7	8	7	8	6	18	15	11	20
otu387	5	9	15	0	6	11	14	15	20	6
otu1460	10	9	2	19	12	0	13	20	3	6
otu2059	14	3	0	13	17	19	12	1	10	15
otu1806	18	18	19	10	2	14	2	7	12	9
otu636	14	7	19	9	8	14	5	0	2	15
otu644	8	9	2	11	14	15	12	8	20	11
otu1822	2	0	11	3	13	11	5	2	6	1
otu292	18	13	10	4	7	6	0	18	15	3
otu2954	5	2	8	18	14	12	13	5	12	6
otu2699	13	15	16	8	13	6	18	5	19	14
otu2709	10	0	0	1	5	8	8	17	12	1
otu2668	10	13	9	13	16	3	14	9	0	1
otu9	8	9	15	4	11	5	9	6	4	3
otu174	10	20	13	15	6	8	17	6	12	10
otu1403	5	8	20	12	9	20	5	20	11	0
otu2342	20	19	7	11	13	10	0	14	0	18
otu2172	15	3	12	6	14	9	19	6	16	5
otu1606	11	12	9	18	8	20	2	11	4	10
otu2448	2	7	17	13	13	11	4	4	10	16
otu1109	0	18	8	2	20	9	19	10	13	20
otu953	11	5	1	20	2	4	12	11	14	16
otu1649	10	4	8	15	3	0	11	0	9	3
otu1996	10	19	20	10	20	10	9	11	12	12
otu1419	11	7	9	18	14	15	5	9	16	17
otu2895	12	14	1	4	18	20	10	20	11	12
otu940	3	17	9	16	10	11	19	16	11	4
otu674	5	1	1	7	19	17	13	10	3	3
otu1169	20	17	8	1	1	6	16	8	5	12
otu1180	15	7	2	8	13	5	4	12	12	13
otu1851	17	6	11	9	4	17	14	2	11	0
otu598	20	2	20	9	16	16	2	11	19	1
otu1651	14	3	10	5	13	2	4	17	10	2
otu220	0	7	4	14	6	8	13	10	16	13
otu1615	20	14	17	8	1	13	14	11	19	18
otu950	4	5	4	5	18	14	6	2	14	18
otu760	9	1	20	17	2	3	17	18	8	20
otu1758	18	4	19	12	11	11	1	8	7	14
otu2892	17	20	8	0	16	19	19	16	2	12
otu1695	13	7	5	8	9	3	17	0	10	10
otu1539	10	1	8	15	4	19	1	0	18	5
otu2209	6	16	9	9	7	4	0	10	5	13
otu2329	5	5	4	1	16	3	18	11	1	19
otu851	15	18	11	8	11	6	4	16	18	19
otu2613	17	7	13	12	13	11	4	15	13	14
otu1711	6	10	3	18	6	6	20	14	18	5
otu109	15	11	18	12	10	9	1	8	17	11
otu1085	1	12	9	9	19	14	17	19	19	16
otu238	16	3	6	0	1	9	19	1	11	2
otu1445	13	13	0	8	2	16	20	0	4	1
otu810	12	0	10	16	5	14	12	18	13	8
otu2374	20	7	1	10	12	3	19	14	14	13
otu2473	15	2	4	14	20	20	8	18	7	11
otu2484	0	16	9	11	20	13	18	11	3	5
otu1587	6	17	1	1	16	12	14	7	4	19
otu2626	11	8	16	12	19	18	4	6	10	9
otu2248	2	4	6	13	9	12	3	19	13	14
otu2573	2	19	4	18	14	13	11	12	7	0
otu248	2	11	12	6	5	13	18	5	13	2
otu252	17	4	8	12	15	10	10	2	4	7
otu187	12	16	8	9	6	14	13	16	15	9
otu342	2	6	8	3	10	4	7	1	2	12
otu2004	12	12	18	7	12	13	7	1	12	12
otu2146	12	18	20	11	15	8	7	7	1	4
otu2868	6	3	4	1	7	16	8	18	14	13
otu1748	1	8	3	17	9	3	17	20	12	16
otu1540	14	11	5	15	20	11	11	12	4	8
otu2838	10	10	12	7	3	1	7	0	0	11
otu95	10	14	12	10	2	9	15	20	16	13
otu946	4	3	8	20	16	5	2	1	1	20
otu1660	5	11	13	4	1	18	18	0	4	10
otu101	17	7	8	12	3	7	18	2	1	14
otu111	4	6	14	5	7	14	15	18	9	9
otu972	7	17	9	14	8	2	20	16	12	16
otu569	7	11	3	11	18	3	2	6	3	1
otu552	13	0	1	14	17	15	6	6	20	4
otu208	5	0	13	16	16	10	3	13	7	4
otu2325	4	13	1	6	16	13	9	13	0	9
otu2748	11	20	2	14	2	4	8	11	20	6
otu1646	16	20	1	3	2	17	9	14	8	1
otu2397	18	1	1	5	14	16	5	1	0	15
otu2449	14	10	16	0	5	14	13	13	17	6
otu209	7	3	6	16	13	6	12	10	14	2
otu2131	8	5	12	5	4	13	13	19	4	16
otu200	1	14	12	16	18	19	3	4	6	8
otu833	11	20	9	1	6	5	14	1	19	9
otu1117	11	1	9	3	15	11	0	18	14	12
otu1994	18	17	6	7	9	11	5	5	9	7
otu2852	13	5	16	13	7	16	16	14	19	5
otu2648	20	13	17	3	2	16	17	10	19	4
otu218	2	17	5	5	7	19	6	0	19	4
otu324	18	1	5	0	16	11	7	16	17	13
otu1009	19	8	13	8	18	19	5	20	12	6
otu707	15	12	6	7	17	15	7	20	12	2
otu1635	2	8	20	0	1	6	14	13	11	16
otu2929	11	12	6	17	10	19	20	11	15	14
otu2994	2	1	12	17	9	15	13	18	3	7
otu1438	17	5	1	12	3	5	2	8	10	13
otu1433	0	6	12	19	1	17	1	15	4	3
otu313	7	8	12	17	7	12	1	10	2	18
otu2843	10	9	8	15	18	3	12	6	10	9
otu1102	12	4	18	12	3	3	13	20	6	20
otu2400	15	10	8	3	16	10	15	19	17	14
otu2710	16	2	12	4	14	1	1	9	8	10
otu1931	11	17	5	1	9	9	19	2	0	2
otu2673	3	2	17	18	4	6	20	11	15	17
otu2298	7	6	16	14	6	2	10	4	11	19
otu2218	20	5	20	9	7	0	9	12	18	18
otu2734	20	9	9	13	13	7	19	15	14	8
otu2849	12	20	8	12	13	0	9	20	5	12
otu673	14	16	1	2	7	8	3	17	4	18
otu1208	5	2	6	11	4	20	16	10	14	10
otu2390	15	3	8	9	11	6	13	11	4	19
otu1324	7	6	1	4	16	5	3	17	20	16
otu900	15	20	2	20	10	8	7	8	12	1
otu2801	8	19	7	14	18	5	7	18	17	1
otu474	18	18	9	10	5	3	19	19	4	13
otu2593	13	9	20	1	1	15	3	12	14	18
otu2771	8	17	18	16	11	1	0	15	5	10
otu1097	6	13	11	8	14	2	4	7	20	14
otu2050	11	4	16	20	2	2	2	6	9	14
otu2913	19	11	2	11	7	4	6	11	14	19
otu2880	5	2	13	5	15	2	19	5	14	8
otu1900	12	15	8	0	2	4	13	5	20	7
otu901	8	10	13	15	12	18	5	16	7	2
otu2455	6	1	2	3	5	11	0	14	3	16
otu1971	18	5	7	15	4	5	11	0	15	4
otu1553	20	9	1	11	2	7	18	3	2	18
otu2555	18	18	14	11	3	1	17	14	7	1
otu788	6	19	6	15	14	3	10	14	9	1
otu1031	11	17	19	10	5	18	7	6	9	4
otu977	16	15	4	10	17	3	18	3	7	14
otu2869	7	1	19	2	14	7	18	11	20	8
otu2430	18	4	11	18	1	12	9	17	0	11
otu1591	8	10	17	15	18	3	11	14	18	16
otu862	18	0	14	13	13	4	4	18	5	2
otu2795	16	11	14	8	11	7	13	8	5	8
otu1195	15	11	12	8	16	2	1	6	6	9
otu1334	14	19	15	12	17	2	19	16	10	0
otu2579	5	12	2	17	17	3	9	10	11	10
otu167	8	8	1	5	20	2	0	9	13	15
otu2987	2	9	3	2	13	16	14	10	10	0
otu2062	13	13	16	11	11	15	9	13	17	19
otu2931	0	13	12	12	7	16	12	14	9	12
otu1700	6	15	16	12	2	9	4	8	6	15
otu1614	6	15	3	4	9	6	11	9	11	4
otu1969	9	18	15	9	2	5	7	18	12	10
otu2289	15	4	17	15	0	9	13	18	18	20
otu615	12	7	5	10	13	20	17	20	14	17
otu850	3	4	1	15	8	0	14	13	0	18
otu1485	10	14	3	14	12	15	5	16	14	3
otu2178	5	20	18	19	20	5	0	6	5	13
otu1715	5	20	5	10	17	11	14	17	20	11
otu2902	17	1	17	20	19	11	12	10	4	0
otu959	16	5	19	15	14	12	14	13	5	1
otu2684	4	20	7	19	14	0	7	3	11	19
otu544	5	1	19	4	15	18	9	1	8	7
otu1307	10	1	1	17	0	20	13	9	12	1
otu2816	10	6	10	9	4	8	20	19	7	9
otu2315	18	9	9	7	0	20	4	6	19	11
otu2975	8	19	9	14	20	0	19	13	19	1
otu1859	17	12	5	18	6	0	8	19	16	0
otu234	11	12	6	6	7	18	2	11	1	15
otu2924	13	1	13	0	19	14	8	14	11	4
otu2302	0	0	7	13	11	3	0	3	8	4
otu1112	9	12	5	5	12	8	4	20	14	4
otu108	12	10	17	10	1	5	16	16	17	14
otu776	15	0	5	17	8	9	13	19	4	11
otu2485	2	14	9	6	20	1	20	12	8	19
otu514	16	3	11	17	16	17	20	8	15	8
otu1383	14	14	18	14	18	6	6	3	17	14
otu1613	18	17	15	10	0	2	1	16	2	14
otu366	5	10	6	20	9	9	11	10	15	20
otu1313	11	17	14	13	13	3	17	4	18	9
otu2409	3	16	13	19	0	3	3	16	0	2
otu1551	6	9	9	6	2	4	17	10	9	10
otu1354	8	12	12	9	20	18	0	18	4	3
otu2509	18	16	18	8	6	2	0	8	1	7
otu879	12	4	8	17	17	0	4	4	8	9
otu2507	4	2	3	18	14	20	17	6	16	1
otu66	2	0	13	18	20	3	19	9	4	15
otu423	18	14	19	16	19	8	2	1	0	5
otu1305	3	4	0	15	10	10	9	16	5	10
otu1492	14	3	0	10	6	11	18	15	9	20
otu124	1	17	13	5	6	3	10	17	3	10
otu1749	0	1	10	1	4	3	9	14	7	9
otu197	5	0	19	14	13	13	0	11	8	14
otu360	17	12	20	9	11	10	14	17	0	6
otu2756	0	20	4	8	5	18	11	13	19	6
otu2011	9	3	14	13	15	15	7	1	5	6
otu999	19	4	16	13	9	11	6	6	2	1
otu2739	16	0	16	17	16	6	4	19	16	3
otu1752	20	7	0	5	6	10	11	15	2	0
otu1771	16	5	12	1	3	11	1	14	6	10
otu1415	8	12	12	6	3	8	11	2	10	18
otu1891	7	18	15	16	8	15	6	2	1	9
otu157	19	20	10	1	13	13	13	8	18	6
otu2961	11	10	1	16	0	10	19	15	5	19
otu412	19	9	5	18	12	9	0	1	15	4
otu1177	11	6	2	16	7	14	13	1	5	15
otu257	9	18	15	13	8	8	7	7	12	7
otu492	7	14	4	12	18	9	0	0	20	17
otu161	4	0	6	14	11	18	12	3	1	16
otu2444	14	19	17	13	15	6	15	13	13	0
otu986	0	17	0	5	20	3	14	8	6	9
otu1437	18	18	10	9	9	7	19	5	3	13
otu400	12	14	16	1	19	18	1	7	16	11
otu1588	12	13	8	16	10	6	1	16	20	3
otu2304	15	13	20	16	5	4	18	11	7	0
otu1278	19	8	7	0	20	5	20	10	8	2
otu2441	19	0	18	8	13	14	8	8	9	5
otu1926	3	11	15	6	12	7	0	13	10	15
otu2020	2	1	5	3	6	10	7	9	1	6
otu1390	2	20	13	16	17	17	20	8	4	13
otu2666	1	8	1	19	4	3	4	11	17	4
otu1044	2	11	6	20	17	3	2	15	16	16
otu1794	5	6	3	3	18	7	12	4	18	18
otu1536	12	12	10	8	12	20	5	7	12	18
otu404	17	8	9	13	14	1	1	11	11	6
otu2041	9	9	14	10	3	16	2	15	6	20
otu407	5	11	20	20	5	17	5	17	11	8
otu1628	3	10	19	15	14	8	20	2	9	19
otu1846	8	0	20	16	6	20	19	8	0	20
otu56	12	6	17	18	13	13	4	20	13	15
otu452	13	7	3	20	13	2	5	5	11	6
otu328	12	7	17	6	10	20	5	8	3	13
otu790	16	8	14	9	10	8	9	7	15	17
otu2166	2	10	4	15	4	8	16	5	14	19
otu1869	16	0	3	18	5	7	7	11	7	14
otu1159	20	15	18	6	12	20	19	13	9	11
otu1189	19	17	0	7	16	17	1	6	13	4
otu1594	0	1	19	1	0	5	15	6	0	16
otu685	10	9	6	5	8	13	17	20	11	20
otu2244	11	2	13	20	19	11	2	15	1	20
otu348	14	6	18	1	9	4	16	20	20	5
otu2874	7	15	3	7	14	12	6	12	14	2
otu1062	14	15	12	16	4	5	18	4	12	19
otu32	11	12	11	2	0	19	7	6	1	20
otu2157	4	18	12	6	11	12	8	3	12	10
otu1093	1	18	8	9	7	5	0	6	5	3
otu1604	20	5	3	18	1	11	12	1	11	20
otu1116	14	12	2	16	10	11	17	18	1	7
otu355	13	10	16	0	3	18	5	12	6	10
otu754	14	6	1	14	2	0	17	5	12	9
otu791	19	18	19	8	15	7	13	1	3	3
otu2740	4	7	4	0	7	19	0	4	8	18
otu2028	5	13	3	16	19	2	7	20	9	7
otu2155	11	15	17	12	16	16	9	0	3	8
otu2075	6	11	0	7	20	18	11	8	12	9
otu1418	14	17	18	17	15	1	5	5	1	6
otu828	12	6	10	3	16	15	11	6	20	8
otu1148	5	6	10	13	16	8	6	11	5	15
otu153	18	4	16	7	9	19	15	3	19	7
otu1264	12	9	13	17	13	14	13	3	11	11
otu2072	12	15	3	8	6	9	13	3	4	20
otu799	9	17	3	18	17	19	11	3	10	13
otu2462	4	10	3	11	8	6	11	15	19	11
otu591	15	10	19	4	11	6	4	13	15	14
otu74	1	15	16	0	13	14	8	20	9	1
otu829	10	20	3	8	20	18	3	9	18	12
otu1471	13	19	5	9	19	11	2	4	18	1
otu2557	5	1	7	1	18	2	18	18	16	6
otu2658	3	19	17	1	20	13	13	2	18	4
otu429	12	15	12	7	9	0	16	3	9	20
otu2026	10	11	4	2	1	14	10	20	8	14
otu2048	9	19	9	19	18	5	14	1	19	20
otu201	14	3	16	18	10	16	13	7	3	10
otu391	3	8	13	7	10	2	5	13	3	1
otu1483	5	3	2	8	11	17	17	17	8	6
otu2103	6	3	15	14	17	5	18	15	14	0
otu2560	7	12	9	14	4	19	18	12	8	2
otu803	14	9	4	6	12	14	8	1	11	19
otu2047	14	20	0	15	20	14	17	20	20	11
otu629	10	7	14	0	16	3	0	19	1	8
otu2787	12	16	9	19	14	13	3	3	4	11
otu454	15	17	14	7	7	2	20	2	16	14
otu347	15	8	2	18	1	14	20	10	1	13
otu2292	8	13	7	7	9	10	6	10	20	3
otu1451	4	20	3	16	1	3	11	13	18	1
otu1824	4	13	11	10	15	0	12	20	2	4
otu2490	11	1	8	17	19	20	5	20	15	3
otu2152	8	0	13	20	12	9	14	20	6	10
otu2382	1	15	13	2	15	13	20	18	19	9
otu1069	14	13	0	9	17	17	11	6	2	9
otu1855	4	9	3	10	2	5	19	8	5	15
otu2211	11	10	16	10	2	11	7	12	2	6
otu2670	2	2	6	20	2	1	14	18	2	14
otu1230	9	1	11	9	11	18	3	0	10	1
otu1982	0	8	16	16	17	18	16	6	1	2
otu2337	7	2	4	7	10	17	1	15	0	18
otu509	7	11	3	3	4	3	6	15	3	1
otu1349	3	13	12	3	1	17	18	20	7	14
otu745	17	6	6	13	9	19	4	18	18	14
otu1975	15	11	19	18	13	4	6	16	9	1
otu2937	12	19	4	4	18	5	8	2	3	17
otu2906	17	2	13	15	9	20	12	7	7	8
otu2469	8	12	3	17	2	12	11	19	11	18
otu770	10	2	19	18	0	10	12	16	12	3
otu1190	4	16	14	3	6	8	11	3	13	14
otu586	4	14	17	1	2	5	2	19	2	14
otu1983	17	4	10	12	3	5	16	17	18	15
otu2562	14	18	17	4	16	14	5	15	19	8
otu1362	13	16	9	3	3	3	6	19	0	7
otu2043	9	11	3	1	4	12	8	0	17	6
otu2865	2	6	10	12	19	11	5	19	4	15
otu2988	19	17	16	14	18	11	9	14	7	5
otu534	13	10	6	9	13	19	7	0	20	7
otu1359	9	10	9	1	12	5	1	2	12	14
otu281	18	7	12	18	6	13	2	13	4	12
otu364	9	17	6	6	20	17	4	15	18	7
otu1047	19	0	19	2	13	12	14	20	1	14
otu2708	10	0	3	10	10	14	10	11	13	16
otu1050	19	6	10	17	16	15	17	11	7	4
otu184	12	9	13	5	7	20	2	1	15	3
otu1915	15	3	17	10	17	1	19	13	4	6
otu2811	5	18	2	3	0	18	8	5	0	8
otu1903	3	0	15	9	0	7	9	20	4	3
otu137	6	14	12	2	9	18	19	14	14	18
otu1003	9	11	4	7	4	4	19	12	0	11
otu2275	11	9	12	11	9	7	18	11	6	9
otu1068	13	12	7	20	3	12	0	12	20	1
otu179	16	10	8	8	0	20	5	13	10	20
otu1154	18	9	6	4	9	13	7	8	15	12
otu448	17	14	18	9	19	13	13	1	8	19
otu2518	7	11	7	1	7	8	17	14	2	15
otu2064	6	10	16	4	20	6	17	13	20	18
otu305	15	12	3	0	20	17	11	0	0	12
otu2692	17	17	16	6	16	5	14	1	12	1
otu898	18	2	3	0	1	9	2	10	19	12
otu561	18	4	4	10	1	18	18	2	19	3
otu413	0	2	15	13	16	17	20	3	19	5
otu1070	14	9	7	19	2	13	4	7	8	15
otu720	2	8	13	13	10	15	17	1	17	7
otu466	1	9	17	9	5	7	2	2	13	3
otu1140	12	9	4	8	9	17	17	0	16	6
otu832	18	1	5	13	7	10	20	6	9	13
otu963	19	0	0	2	18	17	17	19	11	0
otu1063	9	9	18	5	13	0	8	12	19	18
otu1537	6	5	19	2	15	3	3	5	16	13
otu625	6	13	0	2	14	18	3	11	10	15
otu272	12	3	16	2	8	0	15	10	0	18
otu69	5	15	17	13	1	4	11	15	15	9
otu1455	9	5	17	9	4	15	4	15	16	8
otu79	17	20	15	18	6	19	18	3	18	6
otu2995	2	2	11	0	6	4	2	7	13	7
otu1890	6	1	18	12	4	20	4	12	4	11
otu1524	6	8	9	3	5	19	14	1	7	3
otu2417	18	10	14	8	10	5	7	13	3	4
otu1124	17	11	16	17	0	3	13	7	18	4
otu243	8	6	18	8	10	20	3	3	13	11
otu683	4	5	5	14	14	5	11	15	1	10
otu2228	9	8	0	11	3	1	16	9	14	1
otu1887	10	13	5	18	18	16	0	5	13	8
otu556	9	19	15	20	6	16	20	19	2	18
otu548	0	15	3	1	17	8	2	18	3	8
otu344	1	10	19	14	17	0	13	15	5	16
otu297	6	19	2	15	15	11	20	15	0	19
otu1678	15	5	2	12	19	2	5	15	12	13
otu1094	2	11	17	5	5	9	7	20	0	19
otu2751	20	9	13	9	14	19	5	5	9	14
otu1105	8	3	10	19	20	0	6	16	18	19
otu1197	3	11	3	8	8	12	20	15	3	16
otu2595	8	13	7	0	14	15	10	6	11	15
otu1932	10	20	2	17	8	7	19	10	0	7
otu2766	19	2	4	8	11	0	17	0	8	9
otu1886	4	0	11	8	1	11	19	20	7	7
otu2207	9	3	8	0	20	4	3	17	17	9
otu2923	8	8	18	11	4	3	13	16	4	19
otu2338	9	17	13	12	12	9	9	6	7	13
otu2943	0	1	7	11	6	2	5	9	4	5
otu1968	3	15	2	11	20	20	8	7	7	15
otu362	8	20	18	4	6	5	5	6	2	11
otu266	2	11	8	8	1	5	3	0	10	15
otu979	9	11	20	12	0	11	12	9	10	6
otu361	9	5	14	14	18	9	10	5	17	19
otu2428	17	12	7	3	4	14	12	17	5	15
otu2238	15	6	1	7	13	5	10	0	15	20
otu2578	7	13	13	10	4	19	2	9	6	3
otu2947	12	9	7	8	0	19	9	4	17	9
otu2896	19	13	10	10	10	14	17	4	18	4
otu1906	2	17	17	5	9	14	0	10	3	4
otu902	6	17	0	19	4	4	1	4	13	16
otu983	5	0	17	6	19	16	16	9	1	12
otu2618	0	20	11	13	10	16	15	7	10	7
otu654	10	20	7	4	6	20	8	5	10	5
otu316	17	8	3	17	9	13	19	14	20	7
otu2804	15	18	19	3	9	16	1	14	18	0
otu205	12	10	8	15	18	5	16	12	6	15
otu1211	0	12	19	20	10	9	13	10	10	0
otu1315	15	4	1	8	13	5	13	12	20	9
otu1270	1	11	6	7	3	14	8	20	18	15
otu1502	19	7	6	17	12	15	7	19	20	10
otu116	9	2	8	3	15	11	16	2	20	5
otu33	19	11	0	19	11	16	4	14	15	9
otu1538	1	13	12	16	18	12	14	3	15	19
otu428	11	12	15	6	5	7	4	14	20	0
otu1598	9	3	4	8	0	3	10	3	20	4
otu609	1	5	14	14	16	10	11	2	2	10
otu2012	3	14	8	19	6	11	16	8	17	4
otu1137	5	19	18	20	11	7	9	11	5	0
otu2101	9	1	9	16	2	0	2	6	10	8
